Class,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,SumOfAPs
org.apache.wml.dom.WMLOneventElementImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.wml.dom.WMLMetaElementImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.wml.dom.WMLBrElementImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.wml.dom.WMLEmElementImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.wml.dom.WMLCardElementImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.html.dom.HTMLBodyElementImpl,0,17,6,9,0,2,0,16,8,76,0,0,2,136
org.apache.html.dom.ObjectFactory,0,7,0,3,0,0,0,3,2,0,0,0,1,16
org.apache.xerces.util.AttributesProxy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.util.LocatorProxy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.html.dom.HTMLTableColElementImpl,0,17,6,9,0,2,0,16,8,76,0,0,2,136
org.apache.xerces.impl.dv.xs.EntityDV,0,11,2,9,0,0,0,11,8,8,0,0,2,51
org.apache.xerces.parsers.XMLGrammarPreparser,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.dv.xs.IDREFDV,0,11,2,9,0,0,0,11,8,8,0,0,2,51
org.apache.xerces.impl.dv.xs.HexBinaryDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.html.dom.HTMLButtonElementImpl,0,17,6,9,0,2,0,16,8,76,0,0,2,136
org.apache.html.dom.HTMLPreElementImpl,0,17,6,9,0,2,0,16,8,75,0,0,2,135
org.apache.html.dom.HTMLTableCaptionElementImpl,0,17,6,9,0,2,0,16,8,75,0,0,2,135
org.apache.xerces.impl.dv.xs.ListDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.html.dom.HTMLFrameSetElementImpl,0,17,6,9,0,2,0,16,8,75,0,0,2,135
org.apache.xerces.dom.AttributeMap,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.dv.xs.FloatDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.stax.events.ProcessingInstructionImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.html.dom.HTMLHeadingElementImpl,0,17,6,9,0,2,0,16,8,75,0,0,2,135
org.apache.xerces.parsers.IntegratedParserConfiguration,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.parsers.XML11DTDConfiguration,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.stax.events.NamespaceImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.dtd.models.MixedContentModel,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.dtd.XMLNotationDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.dv.xs.AnyAtomicDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.html.dom.HTMLObjectElementImpl,0,17,6,9,0,2,0,16,8,76,0,0,2,136
org.apache.xerces.impl.dv.xs.ExtendedSchemaDVFactoryImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.html.dom.HTMLBRElementImpl,0,17,6,9,0,2,0,16,8,75,0,0,2,135
org.apache.xerces.stax.events.StartDocumentImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.html.dom.HTMLDirectoryElementImpl,0,17,6,9,0,2,0,16,8,75,0,0,2,135
org.apache.xerces.impl.dv.xs.MonthDV,0,3,1,3,0,0,0,8,6,6,0,0,1,28
org.apache.html.dom.HTMLAppletElementImpl,0,17,6,9,0,2,0,16,8,76,0,0,2,136
org.apache.xerces.stax.XMLEventFactoryImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
