Class,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,SumOfAPs
org.apache.xerces.dom.DeferredElementImpl,0,2,0,3,0,0,0,1,1,3,0,0,0,10
org.apache.xerces.dom.ElementImpl,0,11,0,5,0,2,0,8,5,118,0,0,0,149
org.apache.xerces.dom.DeferredDocumentImpl,0,2,0,3,0,0,0,2,2,16,0,0,0,25
org.apache.xerces.dom.DocumentImpl,1,3,3,5,0,0,0,7,3,18,0,0,0,40
org.apache.xerces.dom.NodeImpl,0,12,0,6,0,2,0,9,5,36,0,0,0,70
org.apache.xerces.impl.xs.XSDDescription,0,4,1,4,0,0,0,5,3,3,0,0,2,22
org.apache.xerces.util.XMLResourceIdentifierImpl,0,7,0,7,0,0,0,10,3,5,0,0,4,36
org.apache.xerces.xni.QName,0,13,4,14,0,0,0,32,12,11,0,2,8,96
org.apache.xerces.stax.events.XMLEventImpl,0,0,0,0,0,2,0,6,0,14,0,0,0,22
org.apache.xerces.stax.EmptyLocation,0,0,0,0,0,0,0,0,0,11,0,0,0,11
org.apache.xerces.stax.ImmutableLocation,0,0,0,0,0,0,0,0,0,11,0,0,0,11
org.apache.html.dom.HTMLTableSectionElementImpl,0,1,0,2,0,0,0,0,1,28,0,0,0,32
org.apache.html.dom.HTMLElementImpl,0,1,0,1,0,2,0,0,0,28,0,0,0,32
org.apache.html.dom.HTMLCollectionImpl,0,0,0,0,0,0,0,0,0,2,0,0,0,2
org.apache.html.dom.HTMLDocumentImpl,0,2,0,4,0,4,0,2,4,58,0,0,0,74
org.apache.html.dom.HTMLTableRowElementImpl,0,1,0,2,0,0,0,0,1,30,0,0,0,34
org.apache.xerces.impl.dtd.XML11DTDValidator,0,12,0,3,0,0,0,1,1,0,0,2,1,20
org.apache.xerces.impl.Constants,0,1,0,1,0,0,0,1,0,0,0,0,1,4
org.apache.xerces.impl.dtd.XMLDTDValidator,0,38,5,6,0,2,0,9,1,8,0,2,2,73
org.apache.xerces.impl.dv.DTDDVFactory,0,9,0,8,0,2,0,1,1,3,0,2,1,27
org.apache.xerces.dom.EntityImpl,0,2,0,3,0,0,0,3,4,4,0,0,0,16
org.apache.xerces.dom.ParentNode,0,10,0,6,0,0,0,5,5,13,0,0,0,39
org.apache.xerces.dom.CoreDocumentImpl,0,23,0,8,0,0,0,12,4,38,0,0,0,85
org.apache.xerces.xpointer.XPointerErrorHandler,0,1,0,0,0,0,0,2,0,1,0,0,0,4
org.apache.xerces.xni.XNIException,0,14,0,10,0,0,0,11,4,2,0,2,2,45
org.apache.xerces.xni.parser.XMLParseException,0,6,2,3,0,0,0,6,4,1,0,2,1,25
org.apache.xerces.util.HTTPInputSource,0,11,0,2,0,0,0,3,0,4,0,0,1,21
org.apache.xerces.xni.parser.XMLInputSource,0,22,0,15,0,2,0,14,5,13,0,2,5,78
org.apache.xerces.impl.io.UCSReader,0,2,0,1,0,0,0,1,0,0,0,0,0,4
org.apache.xml.serialize.Printer,0,2,0,2,0,0,0,5,0,1,0,0,0,10
org.apache.xml.serialize.OutputFormat,1,3,0,1,0,0,0,5,0,2,0,2,0,14
org.apache.html.dom.HTMLTableCellElementImpl,0,1,0,1,0,0,0,0,0,28,0,0,0,30
org.apache.xerces.impl.dv.xs.IntegerDV,0,5,0,0,0,2,0,0,0,1,0,0,0,8
org.apache.xerces.impl.dv.InvalidDatatypeValueException,0,5,1,5,0,16,0,8,4,28,0,0,3,70
org.apache.xerces.impl.dv.xs.DecimalDV,0,5,0,0,0,2,0,0,0,1,0,0,0,8
org.apache.xerces.impl.xs.util.SimpleLocator,0,3,0,3,0,0,0,3,2,0,0,0,0,11
org.apache.xerces.util.StAXInputSource,0,9,0,1,0,0,0,2,1,4,0,0,0,17
org.apache.xerces.util.DOMUtil,0,2,0,3,0,2,0,13,9,12,0,0,0,41
org.apache.xerces.dom.AttrImpl,0,4,0,6,0,0,0,9,4,11,0,0,0,34
org.apache.xerces.impl.xs.opti.ElementImpl,0,1,0,1,0,0,0,6,1,4,0,0,0,13
org.apache.xerces.impl.xs.opti.NodeImpl,0,0,0,0,0,0,0,4,0,5,0,0,0,9
org.apache.xerces.dom.NodeIteratorImpl,0,0,0,1,0,0,0,1,0,4,0,0,0,6
org.apache.xerces.dom.DOMMessageFormatter,0,9,0,10,0,0,0,17,4,22,0,0,1,63
org.apache.xerces.impl.dv.xs.YearMonthDV,0,5,0,0,0,2,0,1,0,2,0,0,0,10
org.apache.xerces.impl.dv.xs.AbstractDateTimeDV,0,0,0,0,0,0,0,0,0,22,0,0,0,22
org.apache.xerces.impl.dv.xs.SchemaDateTimeException,0,0,0,0,0,0,0,0,0,2,0,0,0,2
org.apache.xerces.impl.xs.PSVIErrorList,0,2,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.xerces.impl.dv.dtd.ListDatatypeValidator,0,5,0,0,0,2,0,0,0,2,0,0,0,9
org.apache.xerces.stax.events.ElementImpl,0,0,0,0,0,2,0,1,0,13,0,0,0,16
org.apache.xerces.impl.xs.opti.DefaultDocument,0,1,0,1,0,0,0,2,1,1,0,0,0,6
org.apache.xerces.impl.XMLScanner,0,5,1,4,0,0,0,8,0,9,0,0,2,29
org.apache.xerces.impl.msg.XMLMessageFormatter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.util.SymbolTable,0,25,0,22,0,2,0,28,11,20,0,2,8,118
org.apache.xerces.util.XMLChar,0,13,1,13,0,6,0,19,3,13,0,0,6,74
org.apache.xerces.util.XMLStringBuffer,0,0,1,3,0,0,0,8,1,4,0,0,2,19
org.apache.xerces.xni.XMLString,0,8,0,14,0,0,0,29,5,13,0,2,10,81
org.apache.xerces.xni.parser.XMLConfigurationException,0,20,0,19,0,0,0,15,5,4,0,2,7,72
org.apache.xerces.impl.XMLEntityManager,0,53,0,17,0,0,0,20,4,12,0,0,6,112
org.apache.xerces.impl.XMLEntityScanner,0,2,2,4,0,0,0,8,0,6,0,0,2,24
org.apache.xerces.impl.XMLErrorReporter,0,22,0,19,0,0,0,21,7,11,0,0,8,88
org.apache.xerces.dom.DeferredElementNSImpl,0,2,0,3,0,0,0,2,1,5,0,0,0,13
org.apache.xerces.dom.ElementNSImpl,0,7,1,7,0,0,0,8,3,3,0,0,0,29
org.apache.wml.dom.WMLPrevElementImpl,0,1,0,1,0,0,0,0,0,33,0,0,0,35
org.apache.wml.dom.WMLElementImpl,0,1,0,1,0,0,0,0,0,33,0,0,0,35
org.apache.wml.dom.WMLDocumentImpl,0,1,0,2,0,0,0,1,0,69,0,0,0,73
org.apache.xerces.impl.xs.FilePathToURI,0,1,0,1,0,0,0,1,1,0,0,0,1,5
org.apache.xerces.impl.xpath.regex.RangeToken,2,2,0,3,0,0,0,3,0,0,0,0,0,10
org.apache.xerces.impl.xpath.regex.Token,1,2,0,2,0,0,0,2,0,0,0,0,0,7
org.apache.xerces.impl.xpath.regex.RegularExpression,2,3,1,3,0,0,0,3,0,0,0,0,0,12
org.apache.xerces.stax.events.AttributeImpl,0,0,0,0,0,0,0,1,0,12,0,0,0,13
