Class,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,SumOfAPs
org.apache.xerces.dom.DeferredElementImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.dom.ElementImpl,0,1,0,1,0,0,0,0,0,0,0,0,0,2
org.apache.xerces.dom.DeferredDocumentImpl,0,1,0,1,0,0,0,1,0,1,0,0,0,4
org.apache.xerces.dom.DocumentImpl,0,0,0,1,0,0,0,1,0,4,0,0,0,6
org.apache.xerces.dom.NodeImpl,0,0,0,1,0,0,0,0,1,0,0,0,0,2
org.apache.xerces.impl.xs.XSDDescription,0,0,0,0,0,0,0,0,0,1,0,0,0,1
org.apache.xerces.util.XMLResourceIdentifierImpl,0,0,0,0,0,0,0,1,0,3,0,0,0,4
org.apache.xerces.xni.QName,0,0,1,0,0,0,0,1,0,0,0,0,0,2
org.apache.xerces.stax.events.XMLEventImpl,0,0,0,0,0,0,0,0,0,11,0,0,0,11
org.apache.xerces.stax.EmptyLocation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.stax.ImmutableLocation,0,0,0,0,0,0,0,1,0,0,0,0,0,1
org.apache.html.dom.HTMLTableSectionElementImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.html.dom.HTMLElementImpl,0,0,0,0,0,0,0,0,0,25,0,0,0,25
org.apache.html.dom.HTMLCollectionImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.html.dom.HTMLDocumentImpl,0,0,0,0,0,0,0,0,0,1,0,0,0,1
org.apache.html.dom.HTMLTableRowElementImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.dtd.XML11DTDValidator,0,1,0,0,0,0,0,0,0,1,0,0,0,2
org.apache.xerces.impl.Constants,0,0,0,1,0,0,0,0,0,0,0,0,0,1
org.apache.xerces.impl.dtd.XMLDTDValidator,0,1,0,1,0,0,0,1,0,0,0,0,1,4
org.apache.xerces.impl.dv.DTDDVFactory,0,9,0,0,0,0,0,0,0,0,0,2,0,11
org.apache.xerces.dom.EntityImpl,0,2,0,0,0,0,0,0,0,1,0,0,0,3
org.apache.xerces.dom.ParentNode,0,0,0,0,0,0,0,0,0,2,0,0,0,2
org.apache.xerces.dom.CoreDocumentImpl,0,1,0,1,0,0,0,1,1,1,0,0,0,5
org.apache.xerces.xpointer.XPointerErrorHandler,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.xni.XNIException,0,0,0,0,0,0,0,0,0,1,0,0,0,1
org.apache.xerces.xni.parser.XMLParseException,0,1,0,0,0,0,0,0,0,1,0,0,0,2
org.apache.xerces.util.HTTPInputSource,0,3,0,0,0,0,0,1,0,1,0,0,0,5
org.apache.xerces.xni.parser.XMLInputSource,0,8,0,0,0,0,0,1,0,4,0,0,0,13
org.apache.xerces.impl.io.UCSReader,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xml.serialize.Printer,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xml.serialize.OutputFormat,0,1,0,1,0,0,0,0,0,0,0,0,0,2
org.apache.html.dom.HTMLTableCellElementImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.dv.xs.IntegerDV,0,0,0,0,0,2,0,0,0,1,0,0,0,3
org.apache.xerces.impl.dv.InvalidDatatypeValueException,0,5,0,0,0,2,0,0,0,1,0,0,0,8
org.apache.xerces.impl.dv.xs.DecimalDV,0,0,0,0,0,0,0,0,0,2,0,0,0,2
org.apache.xerces.impl.xs.util.SimpleLocator,0,0,0,0,0,0,0,1,0,0,0,0,0,1
org.apache.xerces.util.StAXInputSource,0,0,0,0,0,0,0,0,0,1,0,0,0,1
org.apache.xerces.util.DOMUtil,0,0,0,0,0,0,0,1,0,0,0,0,0,1
org.apache.xerces.dom.AttrImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.xs.opti.ElementImpl,0,0,0,0,0,0,0,1,0,1,0,0,0,2
org.apache.xerces.impl.xs.opti.NodeImpl,0,0,0,0,0,0,0,1,0,5,0,0,0,6
org.apache.xerces.dom.NodeIteratorImpl,0,0,0,0,0,0,0,1,0,0,0,0,0,1
org.apache.xerces.dom.DOMMessageFormatter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.dv.xs.YearMonthDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.dv.xs.AbstractDateTimeDV,0,0,0,0,0,0,0,1,0,1,0,0,0,2
org.apache.xerces.impl.dv.xs.SchemaDateTimeException,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.xs.PSVIErrorList,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.dv.dtd.ListDatatypeValidator,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.stax.events.ElementImpl,0,0,0,0,0,0,0,1,0,3,0,0,0,4
org.apache.xerces.impl.xs.opti.DefaultDocument,0,0,0,0,0,0,0,0,0,2,0,0,0,2
org.apache.xerces.impl.XMLScanner,0,0,0,1,0,0,0,1,0,0,0,0,0,2
org.apache.xerces.impl.msg.XMLMessageFormatter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.util.SymbolTable,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.util.XMLChar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.util.XMLStringBuffer,0,0,0,0,0,0,0,0,0,1,0,0,0,1
org.apache.xerces.xni.XMLString,0,0,1,0,0,0,0,0,0,1,0,0,0,2
org.apache.xerces.xni.parser.XMLConfigurationException,0,2,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.xerces.impl.XMLEntityManager,0,2,0,1,0,0,0,1,0,0,0,0,0,4
org.apache.xerces.impl.XMLEntityScanner,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.XMLErrorReporter,0,0,0,0,0,0,0,1,0,0,0,0,0,1
org.apache.xerces.dom.DeferredElementNSImpl,0,0,0,0,0,0,0,0,0,1,0,0,0,1
org.apache.xerces.dom.ElementNSImpl,0,0,0,0,0,0,0,1,0,2,0,0,0,3
org.apache.wml.dom.WMLPrevElementImpl,0,0,0,0,0,0,0,0,0,1,0,0,0,1
org.apache.wml.dom.WMLElementImpl,0,0,0,0,0,0,0,0,0,32,0,0,0,32
org.apache.wml.dom.WMLDocumentImpl,0,0,0,0,0,0,0,0,0,1,0,0,0,1
org.apache.xerces.impl.xs.FilePathToURI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.xpath.regex.RangeToken,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.xpath.regex.Token,1,0,0,1,0,0,0,1,0,0,0,0,0,3
org.apache.xerces.impl.xpath.regex.RegularExpression,0,1,0,1,0,0,0,1,0,0,0,0,0,3
org.apache.xerces.stax.events.AttributeImpl,0,0,0,0,0,0,0,1,0,2,0,0,0,3
org.apache.xerces.impl.dv.dtd.XML11IDDatatypeValidator,0,0,0,0,0,2,0,0,0,1,0,0,0,3
org.apache.xerces.util.XML11Char,0,3,0,0,0,0,0,0,0,0,0,0,0,3
org.apache.xerces.impl.dv.dtd.IDDatatypeValidator,0,0,0,0,0,2,0,0,0,1,0,0,0,3
org.apache.xerces.dom.RangeImpl,0,0,0,1,0,0,0,1,0,0,0,0,0,2
org.apache.xerces.dom.CharacterDataImpl,0,0,0,0,0,0,0,0,0,4,0,0,0,4
org.apache.xerces.dom.RangeExceptionImpl,0,0,0,0,0,2,0,0,0,0,0,0,0,2
org.apache.xerces.dom.TextImpl,0,0,0,0,0,0,0,0,0,3,0,0,0,3
org.apache.xerces.stax.events.EntityReferenceImpl,0,0,0,0,0,0,0,0,0,1,0,0,0,1
org.apache.xerces.impl.xs.opti.SchemaDOM,0,0,0,0,0,0,0,1,0,1,0,0,0,2
org.apache.xerces.util.XMLSymbols,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.xs.opti.AttrImpl,0,0,0,0,0,0,0,1,0,1,0,0,0,2
org.apache.xerces.impl.xs.util.XIntPool,0,1,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.xerces.impl.xs.util.XInt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.xs.XSConstraints,0,0,0,0,0,0,0,1,0,0,0,0,0,1
org.apache.xerces.impl.dv.ValidatedInfo,0,0,1,0,0,0,0,0,0,0,0,0,0,1
org.apache.xerces.impl.xs.models.CMBuilder,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.xs.util.XSObjectListImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.util.SymbolHash,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.xs.XSParticleDecl,0,0,1,0,0,0,0,0,0,0,0,0,0,1
org.apache.xerces.impl.xs.XSComplexTypeDecl,0,0,0,1,0,0,0,1,0,0,0,0,0,2
org.apache.xerces.impl.xs.XSElementDecl,0,0,1,1,0,0,0,0,0,0,0,0,0,2
org.apache.xerces.impl.xs.XSModelGroupImpl,0,0,1,0,0,0,0,0,0,0,0,0,0,1
org.apache.xerces.impl.xs.SubstitutionGroupHandler,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.xs.XMLSchemaException,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.xs.XSWildcardDecl,0,0,1,0,0,0,0,0,0,0,0,0,0,1
