Class,AntiSingleton,ClassDataShouldBePrivate,RefusedParentBequest,ComplexClass,LazyClass,LongParameterList,SpeculativeGenerality
org.apache.xalan.xsltc.util.JavaCupRedirect,0,0,0,0,0,0,0
org.apache.xalan.trace.GenerateEvent,0,2,0,0,0,4,0
org.apache.xalan.serialize.SerializerUtils,0,0,0,0,0,0,0
org.apache.xalan.processor.ProcessorCharacters,0,0,0,0,0,0,0
org.apache.xml.serializer.ObjectFactory,0,0,0,0,0,0,0
org.apache.xpath.compiler.FuncLoader,0,0,0,0,0,0,0
org.apache.xpath.FoundIndex,0,0,0,0,0,0,0
org.apache.xalan.processor.WhitespaceInfoPaths,0,0,0,0,0,0,0
org.apache.xalan.lib.NodeInfo,0,0,0,0,0,0,0
org.apache.xml.utils.res.XResources_fr,0,0,0,0,0,0,0
org.apache.xalan.templates.ElemSort,0,0,0,0,0,0,0
org.apache.xml.utils.WrongParserException,0,0,0,0,0,0,0
org.apache.xalan.lib.sql.SQLErrorDocument,0,0,0,0,0,2,0
org.apache.xml.utils.IntStack,0,0,0,0,0,0,0
org.apache.xpath.SourceTreeManager,0,0,0,0,0,0,0
org.apache.xalan.xsltc.cmdline.Compile,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.AlternativePattern,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.util.NamedMethodGenerator,0,0,0,0,0,0,0
org.apache.xalan.transformer.KeyTable,0,0,0,0,0,3,0
org.apache.xalan.xsltc.dom.FilteredStepIterator,0,0,0,0,0,0,0
org.apache.xml.dtm.SecuritySupport,0,0,0,0,0,0,0
org.apache.xpath.objects.XStringForChars,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.VariableRef,0,0,0,0,1,0,0
org.apache.xml.utils.UnImplNode,0,0,0,0,0,0,0
org.apache.xml.res.XMLErrorResources_zh_CN,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.util.NumberType,0,0,0,0,0,0,0
org.apache.xpath.compiler.SecuritySupport12,0,0,0,0,0,0,0
org.apache.xalan.xsltc.runtime.StringValueHandler,0,0,0,0,0,0,0
org.apache.xpath.domapi.XPathNSResolverImpl,0,0,0,0,0,0,0
org.apache.xpath.XPathProcessorException,0,0,0,0,1,0,0
org.apache.xalan.templates.ElemWhen,0,0,0,0,0,0,0
org.apache.xalan.xslt.ObjectFactory,0,0,0,0,0,0,0
org.apache.xml.utils.res.XResources_es,0,0,0,0,0,0,0
org.apache.xpath.functions.SecuritySupport12,0,0,0,0,0,0,0
org.apache.xalan.lib.sql.SQLQueryParser,0,0,0,0,0,0,0
org.apache.xml.serializer.SecuritySupport,0,0,0,0,0,0,0
org.apache.xpath.operations.Mult,0,0,0,0,0,0,0
org.apache.xml.utils.res.XResources_en,0,0,0,0,0,0,0
org.apache.xml.utils.res.XResources_el,0,0,0,0,0,0,0
org.apache.xpath.axes.WalkingIteratorSorted,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.Message,0,0,0,0,0,0,0
org.apache.xpath.functions.FuncDoclocation,0,0,0,0,0,0,0
org.apache.xpath.operations.Number,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.UnparsedEntityUriCall,0,0,0,0,0,0,0
org.apache.xalan.lib.ExsltBase,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.RelativePathPattern,0,0,0,0,0,0,0
org.apache.xml.dtm.ref.DTMNamedNodeMap,0,0,0,0,0,0,0
org.apache.xalan.transformer.NumeratorFormatter,0,0,0,0,0,0,0
org.apache.xml.dtm.ref.DTMNodeListBase,0,0,0,0,0,0,0
org.apache.xpath.axes.FilterExprIterator,0,0,0,0,0,0,0
org.apache.xpath.operations.Equals,0,0,0,0,0,0,0
org.apache.xpath.objects.XObjectFactory,0,0,0,0,0,0,0
org.apache.xml.serializer.EncodingInfo,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.util.ErrorMessages_zh_CN,0,0,0,0,0,0,0
