Class,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,SumOfAPs
org.apache.xml.dtm.DTMDOMException,5,0,9,11,0,102,0,29,0,2,0,0,0,158
org.apache.xml.utils.res.XResources_he,27,0,16,78,0,0,0,34,0,0,0,4,0,159
org.apache.xml.utils.res.XResourceBundle,27,0,16,78,0,0,0,34,0,0,0,4,0,159
org.apache.xml.utils.AttList,13,0,18,50,0,6,0,43,0,2,0,0,0,132
org.apache.xml.utils.DOMHelper,4,0,3,14,0,0,0,12,0,0,0,0,0,33
org.apache.xalan.xsltc.compiler.IdKeyPattern,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.util.ClassGenerator,26,0,17,81,0,0,0,41,0,0,0,6,0,171
org.apache.xalan.xsltc.compiler.util.MethodGenerator,0,0,0,5,0,0,0,5,0,0,0,0,0,10
org.apache.xalan.xsltc.compiler.util.Type,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.util.TypeCheckError,5,0,9,11,0,104,0,29,0,2,0,0,0,160
org.apache.xalan.xsltc.compiler.LocationPathPattern,27,0,16,78,0,0,0,34,0,0,0,4,0,159
org.apache.xalan.xsltc.compiler.RelativePathPattern,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.StepPattern,27,0,18,85,0,2,0,38,0,0,0,4,0,174
org.apache.xalan.xsltc.compiler.SymbolTable,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.IdPattern,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.FlowList,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.lib.sql.PooledConnection,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.dom.NodeIteratorBase,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.runtime.BasisLibrary,27,0,22,91,0,4,0,49,0,0,0,4,0,197
org.apache.xalan.xsltc.compiler.AbsolutePathPattern,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.util.Util,9,0,6,14,0,2,0,15,0,0,0,0,0,46
org.apache.xalan.xsltc.compiler.Parser,28,0,25,98,0,10,0,64,0,2,0,4,0,231
org.apache.xalan.xsltc.compiler.AncestorPattern,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.res.XSLTErrorResources_it,27,0,16,77,0,0,0,34,0,0,0,4,0,158
org.apache.xalan.res.XSLTErrorResources,28,0,21,90,0,6,0,51,0,0,0,6,0,202
org.apache.xalan.xsltc.compiler.util.ErrorMessages_no,27,0,16,78,0,0,0,34,0,0,0,4,0,159
org.apache.xalan.xsltc.compiler.util.ErrorMessages,28,0,21,91,0,4,0,50,0,0,0,4,0,198
org.apache.xalan.xsltc.compiler.util.ErrorMsg,9,0,8,17,0,2,0,23,0,0,0,0,0,59
org.apache.xalan.xsltc.compiler.util.ErrorMessages_zh_CN,27,0,16,78,0,0,0,34,0,0,0,4,0,159
org.apache.xalan.res.XSLTErrorResources_de,27,0,16,77,0,0,0,34,0,0,0,4,0,158
org.apache.xalan.templates.ElemExtensionDecl,5,0,9,11,0,104,0,29,0,2,0,0,0,160
org.apache.xalan.extensions.ExtensionNamespaceSupport,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.extensions.ExtensionNamespacesManager,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.res.XSLMessages,13,0,18,50,0,6,0,43,0,2,0,0,0,132
org.apache.xalan.transformer.TransformerImpl,27,0,23,97,0,12,0,64,0,2,0,4,0,229
org.apache.xml.utils.StringVector,5,0,9,11,0,104,0,29,0,2,0,0,0,160
org.apache.xalan.templates.ElemTemplateElement,20,0,24,58,0,110,0,67,0,2,0,0,0,281
org.apache.xalan.templates.ElemExtensionScript,5,0,9,11,0,104,0,29,0,2,0,0,0,160
org.apache.xalan.templates.ElemTextLiteral,27,0,23,97,0,108,0,71,0,2,0,4,0,332
org.apache.xalan.templates.StylesheetRoot,27,0,23,98,0,108,0,70,0,2,0,4,0,332
org.apache.xalan.templates.Constants,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.runtime.ErrorMessages_hu,27,0,16,78,0,0,0,34,0,0,0,4,0,159
org.apache.xml.utils.res.XResourceBundleBase,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xml.utils.synthetic.TestDriver,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xml.utils.synthetic.reflection.Method,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xml.utils.synthetic.Class,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xml.utils.synthetic.SynthesisException,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xml.utils.synthetic.reflection.EntryPoint,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.RelationalExpr,27,0,16,78,0,0,0,34,0,0,0,4,0,159
org.apache.xalan.xsltc.compiler.util.BooleanType,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.util.IntType,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.util.MethodType,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.util.NodeSetType,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.util.NodeType,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.util.RealType,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.util.ReferenceType,8,0,6,13,0,2,0,14,0,0,0,0,0,43
org.apache.xalan.xsltc.compiler.util.ResultTreeType,13,0,18,50,0,6,0,43,0,2,0,0,0,132
org.apache.xalan.xsltc.compiler.Expression,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.VariableRefBase,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.VariableBase,9,0,6,14,0,2,0,15,0,0,0,0,0,46
org.apache.xalan.xsltc.compiler.CastExpr,27,0,16,79,0,0,0,34,0,0,0,4,0,160
org.apache.xml.res.XMLErrorResources_zh_TW,27,0,16,77,0,0,0,34,0,0,0,4,0,158
org.apache.xml.res.XMLErrorResources,27,0,18,84,0,2,0,38,0,0,0,4,0,173
org.apache.xalan.xsltc.compiler.util.ErrorMessages_ko,27,0,16,78,0,0,0,34,0,0,0,4,0,159
org.apache.xalan.xsltc.compiler.AttributeValueTemplate,1,0,2,6,0,0,0,2,0,0,0,0,0,11
org.apache.xalan.xsltc.compiler.AttributeValue,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.LiteralExpr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.SyntaxTreeNode,27,0,18,79,0,0,0,34,0,0,0,4,0,162
org.apache.xalan.xsltc.compiler.RelativeLocationPath,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xml.utils.ObjectFactory,12,0,15,25,0,106,0,45,0,2,0,0,0,205
org.apache.xml.utils.SecuritySupport,8,0,6,13,0,2,0,14,0,0,0,0,0,43
org.apache.xalan.templates.ElemChoose,27,0,23,97,0,108,0,71,0,2,0,4,0,332
org.apache.xpath.XPathContext,14,0,17,53,0,6,0,46,0,2,0,0,0,138
org.apache.xpath.objects.XObject,16,0,20,52,0,108,0,59,0,2,0,0,0,257
org.apache.xalan.templates.ElemWhen,5,0,9,11,0,104,0,29,0,2,0,0,0,160
org.apache.xalan.trace.TraceManager,27,0,23,97,0,108,0,70,0,2,0,4,0,331
org.apache.xpath.XPath,27,0,18,85,0,104,0,56,0,2,0,4,0,296
org.apache.xalan.transformer.MsgMgr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xml.utils.SAXSourceLocator,5,0,9,11,0,104,0,29,0,2,0,0,0,160
org.apache.xpath.compiler.Compiler,27,0,23,93,0,8,0,56,0,2,0,4,0,213
org.apache.xpath.compiler.FunctionTable,26,0,17,82,0,2,0,35,0,0,0,4,0,166
