Class,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,SumOfAPs
org.apache.xml.dtm.DTMDOMException,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xml.utils.res.XResources_he,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xml.utils.res.XResourceBundle,0,0,0,1,0,0,0,1,0,0,0,0,0,2
org.apache.xml.utils.AttList,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xml.utils.DOMHelper,1,0,1,0,0,0,0,1,0,0,0,0,0,3
org.apache.xalan.xsltc.compiler.IdKeyPattern,0,0,0,0,0,2,0,0,0,0,0,0,0,2
org.apache.xalan.xsltc.compiler.util.ClassGenerator,0,0,1,5,0,0,0,1,0,0,0,0,0,7
org.apache.xalan.xsltc.compiler.util.MethodGenerator,0,0,1,4,0,0,0,1,0,0,0,0,0,6
org.apache.xalan.xsltc.compiler.util.Type,1,0,0,3,0,0,0,2,0,0,0,0,0,6
org.apache.xalan.xsltc.compiler.util.TypeCheckError,0,0,0,4,0,0,0,0,0,0,0,0,0,4
org.apache.xalan.xsltc.compiler.LocationPathPattern,0,0,0,1,0,0,0,1,0,0,0,0,0,2
org.apache.xalan.xsltc.compiler.RelativePathPattern,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.StepPattern,1,0,1,1,0,0,0,2,0,0,0,0,0,5
org.apache.xalan.xsltc.compiler.SymbolTable,0,0,2,4,0,0,0,0,0,0,0,0,0,6
org.apache.xalan.xsltc.compiler.IdPattern,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.FlowList,0,0,0,1,0,0,0,0,0,0,0,0,0,1
org.apache.xalan.lib.sql.PooledConnection,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.dom.NodeIteratorBase,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.runtime.BasisLibrary,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.AbsolutePathPattern,0,0,0,0,0,2,0,0,0,0,0,0,0,2
org.apache.xalan.xsltc.compiler.util.Util,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.Parser,1,0,2,4,0,2,0,1,0,0,0,0,0,10
org.apache.xalan.xsltc.compiler.AncestorPattern,0,0,0,0,0,2,0,0,0,0,0,0,0,2
org.apache.xalan.res.XSLTErrorResources_it,0,0,0,1,0,0,0,0,0,0,0,0,0,1
org.apache.xalan.res.XSLTErrorResources,0,0,0,16,0,0,0,0,0,0,0,0,0,16
org.apache.xalan.xsltc.compiler.util.ErrorMessages_no,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.util.ErrorMessages,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.util.ErrorMsg,0,0,1,2,0,0,0,0,0,0,0,0,0,3
org.apache.xalan.xsltc.compiler.util.ErrorMessages_zh_CN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.res.XSLTErrorResources_de,0,0,0,1,0,0,0,0,0,0,0,0,0,1
org.apache.xalan.templates.ElemExtensionDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.extensions.ExtensionNamespaceSupport,0,0,0,0,0,0,0,1,0,0,0,0,0,1
org.apache.xalan.extensions.ExtensionNamespacesManager,0,0,0,1,0,0,0,1,0,0,0,0,0,2
org.apache.xalan.res.XSLMessages,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.transformer.TransformerImpl,1,0,8,6,0,2,0,18,0,0,0,0,0,35
org.apache.xml.utils.StringVector,2,0,0,3,0,0,0,4,0,0,0,0,0,9
org.apache.xalan.templates.ElemTemplateElement,3,0,6,7,0,2,0,17,0,0,0,0,0,35
org.apache.xalan.templates.ElemExtensionScript,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.templates.ElemTextLiteral,1,0,1,1,0,0,0,0,0,0,0,0,0,3
org.apache.xalan.templates.StylesheetRoot,3,0,6,6,0,0,0,6,0,0,0,0,0,21
org.apache.xalan.templates.Constants,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.runtime.ErrorMessages_hu,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xml.utils.res.XResourceBundleBase,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xml.utils.synthetic.TestDriver,0,0,0,1,0,0,0,0,0,0,0,0,0,1
org.apache.xml.utils.synthetic.reflection.Method,0,0,0,1,0,0,0,0,0,0,0,0,0,1
org.apache.xml.utils.synthetic.Class,1,0,2,0,0,0,0,0,0,0,0,0,0,3
org.apache.xml.utils.synthetic.SynthesisException,1,0,1,1,0,0,0,0,0,0,0,0,0,3
org.apache.xml.utils.synthetic.reflection.EntryPoint,0,0,0,1,0,0,0,0,0,0,0,0,0,1
org.apache.xalan.xsltc.compiler.RelationalExpr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.util.BooleanType,1,0,0,2,0,0,0,2,0,0,0,0,0,5
org.apache.xalan.xsltc.compiler.util.IntType,1,0,0,1,0,0,0,2,0,0,0,0,0,4
org.apache.xalan.xsltc.compiler.util.MethodType,0,0,0,2,0,0,0,0,0,0,0,0,0,2
org.apache.xalan.xsltc.compiler.util.NodeSetType,1,0,0,1,0,0,0,2,0,0,0,0,0,4
org.apache.xalan.xsltc.compiler.util.NodeType,1,0,0,1,0,0,0,2,0,0,0,0,0,4
org.apache.xalan.xsltc.compiler.util.RealType,1,0,0,1,0,0,0,2,0,0,0,0,0,4
org.apache.xalan.xsltc.compiler.util.ReferenceType,1,0,0,1,0,0,0,2,0,0,0,0,0,4
org.apache.xalan.xsltc.compiler.util.ResultTreeType,1,0,0,1,0,0,0,2,0,0,0,0,0,4
org.apache.xalan.xsltc.compiler.Expression,1,0,0,4,0,0,0,2,0,0,0,0,0,7
org.apache.xalan.xsltc.compiler.VariableRefBase,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.VariableBase,1,0,0,3,0,0,0,2,0,0,0,0,0,6
org.apache.xalan.xsltc.compiler.CastExpr,0,0,0,1,0,0,0,0,0,0,0,0,0,1
org.apache.xml.res.XMLErrorResources_zh_TW,0,0,0,1,0,0,0,0,0,0,0,0,0,1
org.apache.xml.res.XMLErrorResources,0,0,0,16,0,0,0,0,0,0,0,0,0,16
org.apache.xalan.xsltc.compiler.util.ErrorMessages_ko,0,0,0,0,0,0,0,0,0,0,0,0,0,0
